id,url,precio,expensas,area_m2,dormitorios,antiguedad,tipo_inmueble,puntaje_arg_prop,imagen_path,image_url,lat,lon,valido_desde,valido_hasta
8369836,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--8369836,USD 69.500 + $105.000 expensas,$105.000 expensas,45 m² cubie.,,,departamento,1,images/8369836.jpg,https://www.argenprop.com/static-content/6389638/bc05bc0c-8abb-430b-bfbc-502280e59c97_u_small.jpg,-34.60627,-58.45169,2026-01-17 17:05:21.567385,
18875283,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--18875283,USD 320.000,,69 m² cubie.,2 dorm.,16 años,departamento,0,images/18875283.jpg,https://proxy.sosiva451.com/proxy/0996ADC553ED3FEFB7B1D2E768497ADDA70D569CB1C52F2378254F9D33C282D7C98578D07FB98FDD2507AD79A9EB1A0218D331701BC02ADFD01694FFA09CF27123147672E8FF58D1FFD230CF54A72BAC32AD7A5913D222377AE11255450606F20E7AC76CDB8CB9127DA14EE2EBE3F4F9DFD8032E9705702105F66C6947EC9C01D93260069E6DA86261B4CCF7474A299ED82E9468286853222AB8C44330D69C62,-34.5767,-58.43031,2026-01-17 17:05:21.583377,
15860074,https://www.argenprop.com/departamento-en-venta-en-flores-3-ambientes--15860074,USD 84.900 + $110.000 expensas,$110.000 expensas,63 m² cubie.,2 dorm.,,departamento,1,images/15860074.jpg,https://www.argenprop.com/static-content/47006851/735d4cca-d5b6-42be-b989-38ba794bfbf9_u_small.jpg,-34.63223,-58.46879,2026-01-17 17:05:21.597368,
18342065,https://www.argenprop.com/departamento-en-venta-en-floresta-3-ambientes--18342065,USD 120.000 + $258.000 expensas,$258.000 expensas,45,2 dorm.,,departamento,1,images/18342065.jpg,https://www.argenprop.com/static-content/56024381/8619f1d5-2cba-47d0-86d1-c3dba0be1be4_u_small.jpg,-34.62398,-58.49293,2026-01-17 17:05:21.605364,
18770885,https://www.argenprop.com/departamento-en-venta-en-flores-2-ambientes--18770885,USD 58.000 + $142.000 expensas,$142.000 expensas,36,1 dorm.,,departamento,1,images/18770885.jpg,https://www.argenprop.com/static-content/58807781/dbb76ea7-a4a1-46f2-bf7e-708ad597aac0_u_small.jpg,-34.62986,-58.47018,2026-01-17 17:05:21.615360,
18700832,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-3-ambientes--18700832,USD 150.000 + $145.100 expensas,$145.100 expensas,61,2 dorm.,,departamento,1,images/18700832.jpg,https://www.argenprop.com/static-content/23800781/95d71a51-07c0-46f3-a0e7-e7011562e32e_u_small.jpg,-34.6016,-58.5,2026-01-17 17:05:21.625353,
8369805,https://www.argenprop.com/departamento-en-venta-en-flores-2-ambientes--8369805,USD 57.000 + $100.000 expensas,$100.000 expensas,35 m² cubie.,1 dorm.,,departamento,1,images/8369805.jpg,https://www.argenprop.com/static-content/5089638/b7fd508b-1edb-4aee-96fa-e22e812590c3_u_small.jpg,-34.63229,-58.47052,2026-01-17 17:05:21.633350,
18858341,https://www.argenprop.com/departamento-en-venta-en-villa-devoto-2-ambientes--18858341,USD 85.000 + $120.000 expensas,$120.000 expensas,39 m² cubie.,1 dorm.,46 años,departamento,0,images/18858341.jpg,https://www.argenprop.com/static-content/14385881/165b4977-cb10-4339-a588-f5dcabb6f957_u_small.jpg,-34.60189,-58.51319,2026-01-17 17:05:21.640343,
18875428,https://www.argenprop.com/casa-en-venta-en-villa-devoto-6-ambientes--18875428,USD 390.000,,250 m² cubie.,4 dorm.,46 años,casa,0,images/18875428.jpg,https://www.argenprop.com/static-content/82457881/cbd29dcb-92b1-4e91-bb4f-d1cae1c469bb_u_small.jpg,-34.60867,-58.50071,2026-01-17 17:05:21.650338,
18657752,https://www.argenprop.com/ph-en-venta-en-chacarita-3-ambientes--18657752,USD 135.000,,64 m² cubie.,2 dorm.,48 años,ph,1,images/18657752.jpg,https://www.argenprop.com/static-content/25775681/f74b527b-9808-44f7-8342-e5332fcb5f6a_u_small.jpg,-34.585426,-58.44573,2026-01-17 17:05:21.662332,
18875427,https://www.argenprop.com/ph-en-venta-en-villa-real-5-ambientes--18875427,USD 219.900,,97 m² cubie.,3 dorm.,36 años,ph,0,images/18875427.jpg,https://www.argenprop.com/static-content/72457881/42796214-e6ff-4f8f-ba32-35801e22fb14_u_small.jpg,-34.61812,-58.52851,2026-01-17 17:05:21.669327,
18773188,https://www.argenprop.com/departamento-en-venta-en-nunez-2-ambientes--18773188,USD 155.000 + $200.000 expensas,$200.000 expensas,45 m² cubie.,1 dorm.,10 años,departamento,1175,images/18773188.jpg,https://www.argenprop.com/static-content/88137781/2de468cb-02e9-4d09-aec3-4c30ce012068_u_small.jpg,-34.5494,-58.46106,2026-01-17 17:05:21.678322,
17172615,https://www.argenprop.com/departamento-en-venta-en-palermo-5-ambientes--17172615,USD 1.190.000 + $610.000 expensas,$610.000 expensas,,2 dorm.,3 baños,departamento,814,images/17172615.jpg,https://www.argenprop.com/static-content/51627171/63c74ca9-7201-4771-a31a-376001457c4c_u_small.jpg,-34.58601,-58.40774,2026-01-17 17:05:21.687317,
18875425,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-1-ambiente--18875425,USD 84.900 + $51.000 expensas,$51.000 expensas,32 m² cubie.,1 dorm.,,departamento,0,images/18875425.jpg,https://www.argenprop.com/static-content/52457881/1a3f580b-5301-4a98-bdaf-623cdc4e9363_u_small.jpg,-34.60246,-58.50473,2026-01-17 17:05:21.694312,
18715948,https://www.argenprop.com/departamento-en-venta-en-balvanera-4-ambientes--18715948,USD 120.000 + $490.000 expensas,$490.000 expensas,100 m² cubie.,3 dorm.,50 años,departamento,1734,images/18715948.jpg,https://www.argenprop.com/static-content/84951781/d236d66e-edf8-4640-a9fd-ef7dcf5750e8_u_small.jpg,-34.60465,-58.395164,2026-01-17 17:05:21.701309,
17821648,https://www.argenprop.com/departamento-en-venta-en-belgrano-3-ambientes--17821648,Consultar precio + $305.000 expensas,$305.000 expensas,79 m² cubie.,2 dorm.,12 años,departamento,2,images/17821648.jpg,https://www.argenprop.com/static-content/84612871/d6ea9721-96aa-422d-a686-f8b41f8ed463_u_small.jpg,-34.559948,-58.455765,2026-01-17 17:05:21.712303,
18875423,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-2-ambientes--18875423,USD 70.000 + $113.400 expensas,$113.400 expensas,34 m² cubie.,1 dorm.,51 años,departamento,0,images/18875423.jpg,https://www.argenprop.com/static-content/32457881/bd4098a7-a158-49e6-b529-a225c133b2b1_u_small.jpg,-34.59357,-58.44511,2026-01-17 17:05:21.721296,
18875422,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-3-ambientes--18875422,USD 169.900 + $90.000 expensas,$90.000 expensas,56 m² cubie.,2 dorm.,,departamento,0,images/18875422.jpg,https://www.argenprop.com/static-content/22457881/21dcd557-7314-48c3-8110-ae96ed94be09_u_small.jpg,-34.60185,-58.4978,2026-01-17 17:05:21.731290,
18247052,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--18247052,USD 125.000 + $120.000 expensas,$120.000 expensas,39 m² cubie.,,,departamento,1,images/18247052.jpg,https://www.argenprop.com/static-content/25074281/146362a4-1192-483e-af8e-279ba2a6cb0e_u_small.jpg,-34.569736,-58.477722,2026-01-17 17:05:21.772268,
16013528,https://www.argenprop.com/ph-en-venta-en-floresta-4-ambientes--16013528,USD 160.000,,105 m² cubie.,3 dorm.,55 años,ph,600,images/16013528.jpg,https://www.argenprop.com/static-content/82531061/060dde80-60e0-46f7-9db5-90401a365e2f_u_small.jpg,-34.63423,-58.48689,2026-01-17 17:05:21.784262,
8369836,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--8369836,USD 69.500 + $105.000 expensas,$105.000 expensas,45 m² cubie.,,,departamento,1,images/8369836.jpg,https://www.argenprop.com/static-content/6389638/bc05bc0c-8abb-430b-bfbc-502280e59c97_u_small.jpg,-34.60627,-58.45169,2026-01-17 17:09:50.930363,
